research_question;seed_url;final_seed_url;seed_http_status;seed_content_type;source_page_title;target_url;anchor_text;same_domain;dom_container;section_heading;surrounding_text;status;class;rule;reason;error
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.fi.html;Suomi;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.fr.html;Français;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.ga.html;Gaeilge;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.hr.html;Hrvatski;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.hu.html;Magyar;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.it.html;Italiano;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.lt.html;Lietuvių;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.lv.html;Latviešu;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.mt.html;Malti;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.nl.html;Nederlands;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.pl.html;Polski;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.pt.html;Português;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.ro.html;Română;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.sk.html;Slovenčina;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.sl.html;Slovenščina;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.sv.html;Svenska;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/html/index.en.html;About us;True;nav;;About us About us Overview of the European Systemic Risk Board Mission & establishment Organisation General Board Steering Committee Advisory Technical Committee Advisory Scientific Committee Ieke van den Burg Prize Secretariat List of members Legal framework Corporate governance Scope of action Car;CLASSIFIED;NAVIGATION;P-3;group 'navigation' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;;True;nav;;About us About us Overview of the European Systemic Risk Board Mission & establishment Organisation General Board Steering Committee Advisory Technical Committee Advisory Scientific Committee Ieke van den Burg Prize Secretariat List of members Legal framework Corporate governance Scope of action Car;CLASSIFIED;HIGH_VALUE;P-6;group methodology (primary) x topic_match partial;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/html/index.en.html;Overview of the European Systemic Risk Board;True;nav;;About us Overview of the European Systemic Risk Board;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group topic_landing (secondary) x topic_match partial;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/background/html/index.en.html;Mission & establishment;True;nav;;Mission & establishment;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/html/index.en.html;Organisation;True;nav;;Organisation General Board Steering Committee Advisory Technical Committee Advisory Scientific Committee Ieke van den Burg Prize Secretariat List of members;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/board/html/index.en.html;General Board;True;nav;;General Board;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/steercomm/html/index.en.html;Steering Committee;True;nav;;Steering Committee;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/atc/html/index.en.html;Advisory Technical Committee;True;nav;;Advisory Technical Committee;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/asc/html/index.en.html;Advisory Scientific Committee;True;nav;;Advisory Scientific Committee Ieke van den Burg Prize;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/asc/ieke/html/index.en.html;Ieke van den Burg Prize;True;nav;;Ieke van den Burg Prize;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/secr/html/index.en.html;Secretariat;True;nav;;Secretariat;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/orga/list/html/index.en.html;List of members;True;nav;;List of members;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/legal/html/index.en.html;Legal framework;True;nav;;Legal framework Corporate governance Scope of action;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group regulatory_decision (primary) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/legal/corgov/html/index.en.html;Corporate governance;True;nav;;Corporate governance;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group regulatory_decision (primary) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/legal/scope/html/index.en.html;Scope of action;True;nav;;Scope of action;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group regulatory_decision (primary) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/about/careers/html/index.en.html;Careers;True;nav;;Careers;CLASSIFIED;NAVIGATION;P-3;group 'navigation' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/news/html/index.en.html;Media & events;True;nav;;Media & events Media & events Overview of media & events Schedule of events Press releases Speeches;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/news/html/index.en.html;Overview of media & events;True;nav;;Media & events Overview of media & events;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/news/schedule/html/index.en.html;Schedule of events;True;nav;;Schedule of events;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/news/pr/html/index.en.html;Press releases;True;nav;;Press releases;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group official_information (primary) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/news/speeches/html/index.en.html;Speeches;True;nav;;Speeches;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/html/index.en.html;Publications & research;True;nav;;Publications & research Publications & research Overview of publications & research ESRB reports Annual reports NBFI Risk Monitor Macroprudential policy reviews ASC publications ASC reports ASC insights Risk dashboard Interactive risk dashboard Papers & research Occasional papers Working papers Ieke;CLASSIFIED;NAVIGATION;P-3;group 'related_material' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/html/index.en.html;Overview of publications & research;True;nav;;Publications & research Overview of publications & research;CLASSIFIED;NAVIGATION;P-3;group 'related_material' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/reports/html/index.en.html;ESRB reports;True;nav;;ESRB reports Annual reports NBFI Risk Monitor Macroprudential policy reviews;CLASSIFIED;HIGH_VALUE;P-6;group financial_report (primary) x topic_match partial;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/reports/ar/html/index.en.html;Annual reports;True;nav;;Annual reports;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group financial_report (primary) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/reports/nbfi_monitor/html/index.en.html;NBFI Risk Monitor;True;nav;;NBFI Risk Monitor;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group financial_report (primary) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/reports/review_macroprudential_policy/html/index.en.html;Macroprudential policy reviews;True;nav;;Macroprudential policy reviews;CLASSIFIED;HIGH_VALUE;P-6;group financial_report (primary) x topic_match partial;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/asc/html/index.en.html;ASC publications;True;nav;;ASC publications ASC reports ASC insights;CLASSIFIED;NAVIGATION;P-3;group 'related_material' inside <nav> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/pub/asc/reports/html/index.en.html;ASC reports;True;nav;;ASC reports;CLASSIFIED;POTENTIALLY_RELEVANT;P-6;group financial_report (primary) x topic_match none;
